,publish_time,title,channel_name,tags_count,views_count,likes_count,dislikes_count,comments_count,duration_sec,published_date,published_time_UTC,subscribers
88,2020-12-02T03:00:01Z,[구독자 이벤트] 당첨자 공지｜Venti X Yeloc 🍗,#yeLocDirAe 옐럭,4,2739,74,0,44.0,637,2020-12-02,03:00:01,83700.0
89,2020-06-10T13:19:43Z,N E W T R O,#yeLocDirAe 옐럭,6,2464,58,1,5.0,2384,2020-06-10,13:19:43,83700.0
90,2020-05-02T09:42:51Z,[playlist] 듣고 있던 콘칩이 나쵸로 바뀌는 외힙모음,#yeLocDirAe 옐럭,4,2429,41,0,10.0,1318,2020-05-02,09:42:51,83700.0
91,2020-05-03T04:21:54Z,"[playlist] 잠에 빠지려고 했던 건데요 사랑 말고요..(๑´◡ુ`๑), 잔잔한 팝송모음",#yeLocDirAe 옐럭,6,2406,52,1,16.0,1481,2020-05-03,04:21:54,83700.0
92,2020-05-31T10:44:16Z,"[playlist] 이 플리만 있다면 당신도 여름 전문가 ❛˓◞˂̵✧, 트렌디팝Vol5",#yeLocDirAe 옐럭,5,2273,47,0,7.0,1614,2020-05-31,10:44:16,83700.0
93,2020-05-16T15:08:29Z,"[playlist] 일단 잡숴봐! 듣기 좋은 Jazz Hiphop, 재즈힙합 모음",#yeLocDirAe 옐럭,5,2225,53,0,4.0,2342,2020-05-16,15:08:29,83700.0
94,2020-04-30T05:00:10Z,[playlist] 비 오는 밤 문뜩 네가 생각나,#yeLocDirAe 옐럭,4,2134,29,0,11.0,1825,2020-04-30,05:00:10,83700.0
95,2020-05-29T05:30:21Z,"[playlist] 교수님 죄송해요 과제는 내일 할게요 (:3ぅ ), 나른한 팝송모음",#yeLocDirAe 옐럭,4,2043,42,0,8.0,1361,2020-05-29,05:30:21,83700.0
96,2020-05-16T11:32:17Z,"[playlist] 고막 테러범, 듣기 좋은 감미로운 선율의 피아노 재즈모음",#yeLocDirAe 옐럭,4,1603,55,0,14.0,2124,2020-05-16,11:32:17,83700.0
97,2020-05-03T04:01:40Z,"[playlist] LO-FI 좋아하세요? 네, 전 좋아합니다.",#yeLocDirAe 옐럭,7,1533,39,0,6.0,1455,2020-05-03,04:01:40,83700.0
98,2020-05-19T11:40:16Z,"[PLAYLIST] CHANGMO, 내가 좋아하는 창모형 노래 모음",#yeLocDirAe 옐럭,5,1212,28,0,2.0,2208,2020-05-19,11:40:16,83700.0
99,2020-05-26T12:01:53Z,"[PLAYLIST] DPR LIVE, 내가 좋아하는 다빈이형 노래 모음",#yeLocDirAe 옐럭,5,897,23,0,13.0,1775,2020-05-26,12:01:53,83700.0
100,2019-02-23T22:01:19Z,그루비한 외국 알앤비 GROOVY R&B ♩♪♬,;D LUV MUZIK,7,1125903,31479,234,372.0,3044,2019-02-23,22:01:19,36300.0
101,2019-11-24T07:44:45Z,누 디스코 NU DISCO ♩♪♬,;D LUV MUZIK,5,738009,20277,108,700.0,3084,2019-11-24,07:44:45,36300.0
102,2020-04-03T03:12:17Z,과제하기싫다 이말이야,;D LUV MUZIK,5,327335,11057,37,515.0,1399,2020-04-03,03:12:17,36300.0
103,2019-01-07T08:48:48Z,칠 하우스 CHILL HOUSE ♩♪♬,;D LUV MUZIK,6,295018,6936,35,221.0,3207,2019-01-07,08:48:48,36300.0
104,2019-02-23T22:27:28Z,하우스 뮤직 HOUSE 2 ♩♪♬,;D LUV MUZIK,7,260598,5352,44,177.0,3110,2019-02-23,22:27:28,36300.0
105,2020-05-23T01:00:00Z,𝐬𝐨𝐮𝐧𝐝𝐬 𝐠𝐨𝐨𝐝!,;D LUV MUZIK,13,163393,6229,24,277.0,1742,2020-05-23,01:00:00,36300.0
106,2019-01-26T12:05:41Z,HOT HIPHOP ♩♪♬,;D LUV MUZIK,6,149162,3161,23,92.0,3041,2019-01-26,12:05:41,36300.0
