,video_id,publish_time,title,channel_Id,channel_title,tags,views_count,likes_count,dislikes_count,favorites_count,comments_count,duration
207,YVZrx1-UQvU,2020-12-21T09:10:25Z,"[Playlist] 뉴욕의 연말 분위기, 화려한 5번가로 떠나볼까요? 🌟ㅣ빈티지하고 올드한 크리스마스 캐롤 플레이리스트ㅣvintage christmas in nyc 🎄",UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['essential', '에센셜', '크리스마스', '뉴욕', '캐롤', '올드팝', '재즈', '재즈팝', '올디스', '팝송', '12월', '미국', 'christmas', 'carol', 'nyc', 'ny', 'newyork']",413793,6148,86,0,184.0,PT1H3M3S
208,V-Y079Axpb8,2020-04-17T03:18:34Z,[Playlist] Brand New! 도파민 방출 트렌디 팝ㅣBrand New! Exciting and Trendy Pop,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['playlist', '플레이리스트', '봄 노래', '팝송', '노래', '음악', '노래 추천', '음악 추천', '팝송 추천', '에센셜', 'essential', 'essential;', '좋은 노래', '좋은 노래 추천', '신나는 노래', '신나는 팝송']",412689,4264,84,0,101.0,PT1H7M48S
209,3zjQnn2QfN4,2019-12-01T13:36:15Z,"[Playlist] 비가 내린 오늘, 버스 정류장에 앉아 듣는 팝ㅣrainy night at the bus stop",UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['음악', '플레이리스트', 'playlist', '팝송', '팝', 'pop', '가을', '가을 노래', '가을 팝송', '밤', '새벽', '센치한', '센치한 노래', '밤에 듣기 좋은 노래', '밤에 듣기 좋은 팝송', '감성적인', '인디팝', '해외 인디', '팝송 추천', '사운드 클라우드', '카페', '카페 음악', '가을 카페', '가을에 듣기 좋은 노래', '가을에 듣기 좋은 팝송', '싸클', '사클', '겨울', '겨울비', '겨울비 노래', '비오는날 듣기 좋은 노래', '비 오는 날 노래', '우울한 노래', '쓸쓸한 노래', '우울할때', '우울할때듣기좋은 팝송', '비올때듣기좋은 노래', '비올때듣기좋은팝송', '비팝송', 'rain', 'rain pop song', '멜랑꼴리', '멜랑콜리', '멜랑콜리한 감성', '감성 팝', '감성 팝송', '감성적인 팝송', '감성적인 노래']",391055,3972,61,0,104.0,PT1H50M52S
210,3owcmKI642c,2020-07-20T01:00:11Z,"[Playlist] 무기력한 아침, 리듬 타며 여름나기 🌿ㅣHow to Wake Up Without Feeling Sluggish 🌿",UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['에센셜', 'essential', 'essential 무기력', '에센셜 무기력', '에센셜 아침', 'essential 아침', '여름나기']",387166,5578,94,0,150.0,PT44M23S
211,N3PvPwAavoE,2019-07-16T07:09:02Z,[Playlist] 무더위야 잘가🌴 싱그럽고 상큼한 여름 팝송 추천!,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['음악', '플레이리스트', '뮤직', '여름', '상큼', '일렉팝']",384436,4391,71,0,71.0,PT1H1M19S
212,w32bs_ISBi0,2020-05-29T05:30:39Z,"[Playlist] 적당한 텐션, 기분전환 trendy pop #1ㅣModerate tension, Refreshment trendy pop #1",UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['playlist', '플레이리스트', '팝송', '노래', '음악', '노래 추천', '음악 추천', '팝송 추천', '에센셜', 'essential', 'essential;', '좋은 노래', '좋은 노래 추천', '애센셜']",380474,4177,64,0,143.0,PT1H17M52S
213,hwpxZtECUOc,2020-07-15T01:22:42Z,[Playlist] 꿉꿉해진 날씨에 안성맞춤! Summer Pops 🌻ㅣHappy Summer Pops 🌻,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['꿉꿉해진', 'essential 꿉꿉', '꿉꿉', '에센셜']",373063,3394,54,0,90.0,PT1H14M37S
214,GBVEHPh_HRs,2020-03-06T01:16:42Z,[Playlist] 감각적 봄맞이! 러블리와 센슈얼 그 사이ㅣBest Popular Songs Of 2020,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['essential;', 'essential', '에센셜', '팝송', '외국 노래', '노래 추천', '플레이리스트', 'playlist', '트렌디한 노래', '트렌디한 팝송', '봄', '봄 노래']",357291,4431,69,0,110.0,PT1H14M4S
215,yVqXMvohWek,2020-01-08T05:44:00Z,[Playlist] 얼어 죽어도 트로피컬!ㅣ시원하고 상큼한 이냉치냉 플레이리스트ㅣBest Popular Songs Of 2020,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['음악', '플레이리스트', '트로피컬 하우스', '팝송', '여름', '여름 팝송', '시원한', '청량한', '기분전환', '드라이브송', '드라이브', 'playlist', '팝', 'pop', '출근', '월요병', '출근송', '신나는', '경쾌한', '기분좋은', '감각적인', '팝송 추천', '신나는 노래', '기분 좋은', '기분 좋은 노래', '짱좋은 노래', '짱신나는 팝', '편집샵', '편집샵 음악', '상쾌한', '아침', '아침 팝송', '모닝 팝송', '신나는 팝송', '인기 팝송', '기분 좋은 팝송', '좋은 노래', '좋은 팝송', '기분좋은 노래', '달콤한 팝송', 'drive', 'drive pop', '드라이브 팝송', '드라이브 팝', '주말에 듣기 좋은 노래', '주말에 듣기 좋은 팝', '주말 팝', '일렉트로닉', '일렉트로팝', 'electro pop', 'electronica', 'EDM', '편집샵 노래', 'EDM 추천', '신나는 EDM', '클럽 노래', '클럽 음악', '트로피컬', 'tropical', '통통튀는', '통통 팝송', '통통 튀는 노래', '청량한 팝송', '상쾌한 팝송', 'tropical house']",355386,5840,69,0,172.0,PT48M58S
216,Zf497FZfDp4,2020-07-07T07:48:44Z,[Playlist] 반팔 매장에서 들렸으면 하는 BGM #4 💛ㅣ T-shirt Shop Background Music 💛,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['playlist', '플레이리스트', '팝송', '노래', '음악', '노래 추천', '음악 추천', '팝송 추천', '에센셜', 'essential', 'essential;', '좋은 노래', '좋은 노래 추천', '애센셜']",355360,6091,69,0,137.0,PT1H13M38S
217,8HSVLnYKD_E,2021-01-27T01:18:50Z,[Playlist] 오늘도 화이팅!ㅣ기분 좋게 시작할 수 있는 Fresh Vibe ☀️ㅣit's gonna be a great day ☀️,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['essential', '에센셜', '플레이리스트', '음악', '노래', '벅스', '벅스뮤직', '팝송', '기분전환', '등교', '출근', '아침', '데일리팝', '신나는', '경쾌한']",348413,3609,62,0,107.0,PT1H17M59S
218,64VMRxkl7OU,2020-07-01T04:00:12Z,[Playlist] 여름을 준비하는 자세! 트로피컬 사운드 TOP 100 🏄🏾ㅣReady to Summer! Tropical TOP 100 🏄🏾,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['playlist', '플레이리스트', '팝송', '노래', '음악', '노래 추천', '음악 추천', '팝송 추천', '에센셜', 'essential', 'essential;', '좋은 노래', '좋은 노래 추천', '애센셜', 'tropical', 'tropical hpouse', '트로피컬', '트로피컬 하우스', '시원한']",346905,4409,80,0,154.0,PT5H8M52S
219,4D2N4vAwuLo,2020-01-17T07:24:10Z,[Playlist] 끈적이고 싶을 때ㅣ그루브-딥-섹시 플레이리스트ㅣBest Sexy Songs Of 2020,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['음악', '플레이리스트', 'playlist', '팝송', '팝', 'pop', '밤', '새벽', '밤에 듣기 좋은 노래', '밤에 듣기 좋은 팝송', '감성적인', '인디팝', '해외 인디', '팝송 추천', '사운드 클라우드', '인싸', '싸클', '사클', '그루브한', '겨울', '겨울 팝송', '겨울에 듣기 좋은 팝송', '알앤비', '겨울에 듣기 좋은 알앤비', '따뜻한 알앤비', '감각적인 노래', '감각적인 알앤비', '부드러운 노래', '듣기 좋은 노래', '겨울에 어울리는', '감성적인 노래', '감성적인 팝', '감성적인 팝송', 'R&B', '알앤비 명곡', '세련된 알앤비', '세련된 팝송', '세련된 팝', '섹시한', '섹시한 노래', '섹시 팝송', 'sexy', 'sexy pop', 'groove sexy', '침대송', 'bedroom song']",342452,3573,75,0,122.0,PT1H15M58S
220,ZjknKXiFuIQ,2019-07-11T09:22:57Z,[Playlist] 여름비 속 이어폰을 책임질 감성 팝송 모음,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['음악', '플레이리스트', '팝송', '여름', '비', '장마']",341664,3787,41,0,65.0,PT1H40M18S
221,AfoM72N_eRM,2020-01-16T04:57:20Z,"[Playlist] 저기봐,, 꽃들이 춤을 춰 🌻ㅣ마음을 가볍게 해줄 산뜻한 그루브 팝ㅣBest Popular Songs Of 2020",UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['음악', '플레이리스트', 'playlist', '팝송', '팝', 'pop', '출근', '등교', '출근길', '월요병', '출근송', '신나는', '경쾌한', '기분좋은', '감각적인', '팝송 추천', '미국 감성', '미국', '십대 감성', '틴에이저', '싸클', '사클', '가을에 듣기 좋은 노래', '신나는 노래', '기분 좋은', '기분 좋은 노래', '짱좋은 노래', '짱신나는 팝', '카페', '카페 음악', '편집샵', '편집샵 음악', '상쾌한', '아침', '아침에 듣기 좋은 노래', '아침 팝송', '모닝 팝송', '굿모닝팝스', '신나는 팝송', '인기 팝송', '기분 좋은 팝송', '좋은 노래', '좋은 팝송', '2019', '외국 노래', '외국 음악', '느낌있는', '기분좋은 노래', '달콤한 노래', '달콤한 팝송', 'sweet', 'sweet pop', 'sweet popsong', 'drive', 'drive pop', 'drive popsong', '드라이브', '드라이브 팝송', '드라이브 팝', '주말에 듣기 좋은 노래', '주말에 듣기 좋은 팝', '주말 팝', '뒹굴뒹굴', '모닝', '상큼한 팝송', '상큼한 노래', '상큼발랄']",332623,4600,57,0,116.0,PT54M51S
222,gJST2Yu-Kho,2020-02-25T03:44:59Z,[Playlist] 상큼 발랄한 레몬 같은 팝!ㅣBest Popular Songs Of 2020,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['해외', '팝송', '해외 팝', 'pop song', 'cafe', '포근한 노래', '포근한 팝송', '기분 좋아지는 팝송', '달콤한 노래', '달콤한 팝송', '달짝지근', '데일리 팝', 'Daily Pop', '세렌디피티', '벅스', 'Bugs', 'Bugs Music PD', '벅스 뮤직PD', '그루브한', 'morning', '아침', '상큼한', '발랄한']",330647,3448,80,0,117.0,PT45M53S
223,4rCMoRQi2Ms,2020-08-14T00:14:05Z,[Playlist] 여름날 기분 전환이 필요할 때 이런 음악 vol. 3ㅣSummer refresh vol. 3,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['에센셜', 'essential', '청량함', '여름']",328553,3631,74,0,111.0,PT1H16M39S
224,iqXF38SjRdc,2020-12-12T03:45:09Z,"[Playlist] 벽난로 앞에서, 크리스마스 로파이 무드 🦌ㅣChristmas Lofi/Jazzhop/Chillhop",UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['크리스마스', '캐롤', '로파이', 'christmas', 'carol', 'lofi', 'lo-fi', '겨울', '음악', '플레이리스트', '벅스', 'bugs', '에센셜', 'essential', 'jazzhop', 'chill', 'chillhop', 'chillax']",317980,4820,58,0,141.0,PT1H41M6S
225,iHDSV-dHWQ4,2020-12-09T11:00:11Z,[Playlist] 가볍게 캔맥 하나 따고 싶은 밤 🍺ㅣCatch a Vibe! 술이 달게 느껴지는 BGMㅣCan you get me a beer please?,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['에센셜', 'essential', '맥주', '펍', '술집', '이태원', '힙합', '해외힙합', '트렌디한', '그루브한', '혼술', '저녁', '밤', '드라이브', '플레이리스트', '노래', '해외', '팝송']",314131,2937,53,0,89.0,PT1H40M
